user_id,signup_date,cohort_month,acquisition_channel,plan,age_group,city_tier,onboarding_steps_completed,sessions_first_30_days,retained_day7,retained_day14,retained_day30,churned_month1,estimated_ltv
USR000001,2023-07-26,2023-07,Paid Search,Basic,18-24,Tier 1,1,19,1,1,1,0,1817.17
USR000002,2023-10-03,2023-10,Organic,Basic,18-24,Tier 2,4,28,1,1,1,0,1598.94
USR000003,2023-07-18,2023-07,Referral,Free,25-34,Tier 1,4,1,0,0,0,1,194.48
USR000004,2023-08-29,2023-08,Paid Search,Free,25-34,Tier 1,3,5,1,1,1,0,266.05
USR000005,2023-04-12,2023-04,Social Media,Pro,25-34,Tier 1,5,28,1,1,1,0,1379.3
USR000006,2023-04-01,2023-04,Email,Basic,18-24,Tier 1,4,5,1,1,1,0,1405.62
USR000007,2023-11-20,2023-11,Organic,Free,18-24,Tier 1,4,1,0,0,0,1,236.5
USR000008,2023-11-24,2023-11,Organic,Free,25-34,Tier 2,3,4,1,0,1,0,85.2
USR000009,2023-11-04,2023-11,Referral,Free,45+,Tier 1,1,2,0,0,0,1,153.59
USR000010,2023-07-29,2023-07,Organic,Free,25-34,Tier 2,5,6,1,1,1,0,247.28
USR000011,2023-07-05,2023-07,Organic,Free,18-24,Tier 2,0,4,0,0,0,1,220.94
USR000012,2023-06-22,2023-06,Referral,Free,25-34,Tier 1,1,14,1,1,1,0,185.0
USR000013,2023-07-24,2023-07,Referral,Free,35-44,Tier 1,5,3,1,1,0,1,163.04
USR000014,2023-12-31,2023-12,Social Media,Free,18-24,Tier 2,1,3,0,0,0,1,196.39
USR000015,2023-02-05,2023-02,Paid Search,Pro,35-44,Tier 2,4,11,1,1,1,0,3355.57
USR000016,2023-05-29,2023-05,Paid Search,Basic,25-34,Tier 1,5,22,1,1,1,0,1215.81
USR000017,2023-08-14,2023-08,Organic,Free,18-24,Tier 1,3,2,1,1,0,1,231.35
USR000018,2023-12-08,2023-12,Organic,Basic,25-34,Tier 2,5,3,1,1,0,1,1330.0
USR000019,2023-01-02,2023-01,Organic,Free,18-24,Tier 1,5,8,1,1,1,0,180.49
